"DevType","District","Weights"
"Metropolitan",1,2.26943010919311
"Town",1,2.26943010919311
"Rural",1,2.26943010919311
"Metropolitan",2,2.97550827068816
"Town",2,2.97550827068816
"Rural",2,2.97550827068816
"Metropolitan",3,2.82321919980446
"Town",3,2.82321919980446
"Rural",3,2.82321919980446
"Metropolitan",4,5.70859718310986
"Town",4,5.70859718310986
"Rural",4,5.70859718310986
"Metropolitan",5,10.2446417062988
"Town",5,10.2446417062988
"Rural",5,10.2446417062988
"Metropolitan",6,7.20425187998397e-29
"Town",6,7.20425187998397e-29
"Rural",6,7.20425187998397e-29
"Metropolitan",7,1.08596586229544
"Town",7,1.08596586229544
"Rural",7,1.08596586229544
"Metropolitan",8,0.582960431625487
"Town",8,0.582960431625487
"Rural",8,0.582960431625487
"Metropolitan",9,0.087589635812647
"Town",9,0.087589635812647
"Rural",9,0.087589635812647
"Metropolitan",10,1.07850043269811
"Town",10,1.07850043269811
"Rural",10,1.07850043269811
"Metropolitan",11,2.89318438047283
"Town",11,2.89318438047283
"Rural",11,2.89318438047283
"Metropolitan",12,2.34684394842906
"Town",12,2.34684394842906
"Rural",12,2.34684394842906
"Metropolitan",13,3.92183202879559
"Town",13,3.92183202879559
"Rural",13,3.92183202879559
"Metropolitan",14,0.0913794958427136
"Town",14,0.0913794958427136
"Rural",14,0.0913794958427136
"Metropolitan",15,0.202079709020123
"Town",15,0.202079709020123
"Rural",15,0.202079709020123
"Metropolitan",16,0.0874993685357965
"Town",16,0.0874993685357965
"Rural",16,0.0874993685357965
"Metropolitan",17,6.1697253556307
"Town",17,6.1697253556307
"Rural",17,6.1697253556307
"Metropolitan",18,4.37032176540464
"Town",18,4.37032176540464
"Rural",18,4.37032176540464
"Metropolitan",19,1.11425039705545
"Town",19,1.11425039705545
"Rural",19,1.11425039705545
"Metropolitan",20,0.142931072528236
"Town",20,0.142931072528236
"Rural",20,0.142931072528236
"Metropolitan",21,1.8906307545566
"Town",21,1.8906307545566
"Rural",21,1.8906307545566
"Metropolitan",22,2.37801045832802
"Town",22,2.37801045832802
"Rural",22,2.37801045832802
"Metropolitan",23,0.0941603146572383
"Town",23,0.0941603146572383
"Rural",23,0.0941603146572383
"Metropolitan",24,1.03587171055329
"Town",24,1.03587171055329
"Rural",24,1.03587171055329
"Metropolitan",25,0.0446696255447179
"Town",25,0.0446696255447179
"Rural",25,0.0446696255447179
"Metropolitan",26,4.88461032874163
