Year,ULSD,Biodiesel,RFG,CARBOB,Ethanol,Cng,HhVehComposite,CommVehComposite
1990,90.2,15.91,90.1,90.1,64.82,71.41,90.12,NA
1995,90.2,15.91,90.1,90.1,64.82,71.41,90.11,NA
2000,90.2,15.91,90.1,90.1,64.82,71.41,89.49,NA
2005,90.2,15.91,90.1,90.1,64.82,71.41,90.24,NA
2010,90.2,15.91,92.34,92.34,63.37,71.41,90.38,NA
2015,90.2,15.91,92.34,92.34,63.37,71.41,89.48,NA
2020,90.2,15.91,92.34,92.34,63.37,71.41,84.51,NA
2025,90.2,15.91,92.34,92.34,63.37,71.41,78.63,NA
2030,90.2,15.91,92.34,92.34,63.37,71.41,74.11,NA
2035,90.2,15.91,92.34,92.34,63.37,71.41,72.3,NA
2038,90.2,15.91,92.34,92.34,63.37,71.41,72.3,NA
2040,90.2,15.91,92.34,92.34,63.37,71.41,72.3,NA
2045,90.2,15.91,92.34,92.34,63.37,71.41,72.3,NA
2050,90.2,15.91,92.34,92.34,63.37,71.41,72.3,NA
